START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
05/19/18,01:07 PM,01:07 PM,Athletics at Blue Jays,Rogers Centre - Toronto,"Local TV: FS1",05/19/18,05/19/18,04:07 PM,04:07 PM,FALSE,TRUE,05/19/18,12:07 PM,12:07 PM,FREE,BUSY
05/20/18,01:07 PM,01:07 PM,Athletics at Blue Jays,Rogers Centre - Toronto,"",05/20/18,05/20/18,04:07 PM,04:07 PM,FALSE,TRUE,05/20/18,12:07 PM,12:07 PM,FREE,BUSY
05/22/18,07:07 PM,07:07 PM,Angels at Blue Jays,Rogers Centre - Toronto,"",05/22/18,05/22/18,10:07 PM,10:07 PM,FALSE,TRUE,05/22/18,06:07 PM,06:07 PM,FREE,BUSY
05/23/18,07:07 PM,07:07 PM,Angels at Blue Jays,Rogers Centre - Toronto,"",05/23/18,05/23/18,10:07 PM,10:07 PM,FALSE,TRUE,05/23/18,06:07 PM,06:07 PM,FREE,BUSY
05/24/18,12:37 PM,12:37 PM,Angels at Blue Jays,Rogers Centre - Toronto,"",05/24/18,05/24/18,03:37 PM,03:37 PM,FALSE,TRUE,05/24/18,11:37 AM,11:37 AM,FREE,BUSY
05/25/18,07:05 PM,07:05 PM,Blue Jays at Phillies,Citizens Bank Park - Philadelphia,"",05/25/18,05/25/18,10:05 PM,10:05 PM,FALSE,TRUE,05/25/18,06:05 PM,06:05 PM,FREE,BUSY
05/26/18,04:05 PM,04:05 PM,Blue Jays at Phillies,Citizens Bank Park - Philadelphia,"",05/26/18,05/26/18,07:05 PM,07:05 PM,FALSE,TRUE,05/26/18,03:05 PM,03:05 PM,FREE,BUSY
05/27/18,01:35 PM,01:35 PM,Blue Jays at Phillies,Citizens Bank Park - Philadelphia,"",05/27/18,05/27/18,04:35 PM,04:35 PM,FALSE,TRUE,05/27/18,12:35 PM,12:35 PM,FREE,BUSY
05/28/18,01:05 PM,01:05 PM,Blue Jays at Red Sox,Fenway Park - Boston,"",05/28/18,05/28/18,04:05 PM,04:05 PM,FALSE,TRUE,05/28/18,12:05 PM,12:05 PM,FREE,BUSY
05/29/18,07:10 PM,07:10 PM,Blue Jays at Red Sox,Fenway Park - Boston,"",05/29/18,05/29/18,10:10 PM,10:10 PM,FALSE,TRUE,05/29/18,06:10 PM,06:10 PM,FREE,BUSY
05/30/18,01:05 PM,01:05 PM,Blue Jays at Red Sox,Fenway Park - Boston,"",05/30/18,05/30/18,04:05 PM,04:05 PM,FALSE,TRUE,05/30/18,12:05 PM,12:05 PM,FREE,BUSY
06/01/18,07:10 PM,07:10 PM,Blue Jays at Tigers,Comerica Park - Detroit,"",06/01/18,06/01/18,10:10 PM,10:10 PM,FALSE,TRUE,06/01/18,06:10 PM,06:10 PM,FREE,BUSY
06/02/18,04:10 PM,04:10 PM,Blue Jays at Tigers,Comerica Park - Detroit,"",06/02/18,06/02/18,07:10 PM,07:10 PM,FALSE,TRUE,06/02/18,03:10 PM,03:10 PM,FREE,BUSY
06/03/18,01:10 PM,01:10 PM,Blue Jays at Tigers,Comerica Park - Detroit,"",06/03/18,06/03/18,04:10 PM,04:10 PM,FALSE,TRUE,06/03/18,12:10 PM,12:10 PM,FREE,BUSY
